Unnamed: 0,movieId,Title,genres,rating,NbRatings,year,Popularity %
8,9,Sudden Death  ,Action,2.99205066,3711,1995,0.012827677
70,71,Fair Game  ,Action,2.345673877,1202,1995,0.003257318
202,204,Under Siege 2: Dark Territory  ,Action,2.926604923,7882,1995,0.026649475
248,251,"Hunted, The  ",Action,3.057184751,341,1995,0.001204382
656,667,Bloodsport 2    ,Action,2.50501002,998,1996,0.002888206
958,980,"Yes, Madam        ",Action,3.059090909,110,1985,0.000388752
1142,1170,Best of the Best 3: No Turning Back  ,Action,2.013422819,149,1995,0.000346585
1449,1497,Double Team  ,Action,2.285326087,736,1997,0.001943185
1542,1599,Steel  ,Action,1.626425856,526,1997,0.000988344
2106,2196,Knock Off  ,Action,2.163430421,309,1998,0.000772306
2443,2534,Avalanche  ,Action,2.161764706,102,1978,0.00025474
2664,2756,Wanted: Dead or Alive  ,Action,2.93062201,209,1987,0.00070761
2725,2817,Aces: Iron Eagle III  ,Action,1.686737805,656,1992,0.00127832
2873,2965,"Omega Code, The  ",Action,2.014666667,375,1999,0.000872816
3190,3283,Minnie and Moskowitz  ,Action,3.392241379,116,1971,0.000454604
3348,3444,Bloodsport  ,Action,3.190115063,1912,1988,0.007046644
3668,3769,Thunderbolt and Lightfoot  ,Action,3.386029412,680,1974,0.002660038
3897,4001,Code of Silence  ,Action,2.688741722,151,1985,0.000469045
4095,4199,Death Warrant  ,Action,2.585227273,176,1990,0.000525653
4096,4200,Double Impact  ,Action,2.40797546,652,1991,0.001813793
4282,4387,Kiss of the Dragon  ,Action,3.245645646,1665,2001,0.006243146
4336,4441,Game of Death  ,Action,3.258278146,302,1978,0.001136798
4426,4531,Red Heat  ,Action,2.846679688,1024,1988,0.003367648
4463,4568,Best of the Best  ,Action,2.975165563,302,1989,0.001038021
4464,4569,Best of the Best 2  ,Action,2.458646617,133,1993,0.000377777
4509,4614,Kickboxer  ,Action,2.913793103,754,1989,0.002538155
4525,4630,No Holds Barred  ,Action,2.0475,200,1989,0.000473088
4531,4636,"Punisher, The  ",Action,2.399847095,654,1989,0.001813216
4532,4637,Red Scorpion  ,Action,2.212560386,207,1989,0.000529119
4760,4866,"Last Castle, The  ",Action,3.402901125,1689,2001,0.006639985
4841,4947,"Gauntlet, The  ",Action,3.219954649,441,1977,0.001640501
4844,4950,Lone Wolf McQuade  ,Action,2.713235294,204,1983,0.000639449
5104,5212,"Octagon, The  ",Action,2.329931973,147,1980,0.000395684
5268,5376,"Lady in Red, The  ",Action,2.767716535,127,1979,0.000406082
5301,5409,Rapid Fire  ,Action,2.774509804,153,1992,0.000490417
5471,5580,Aspen Extreme  ,Action,2.549668874,151,1993,0.000444784
6600,6723,Once Upon a Time in China III    ,Action,3.505263158,190,1993,0.000769418
7185,7310,Raw Deal  ,Action,2.573033708,356,1986,0.001058239
7251,7376,Walking Tall  ,Action,3.049413735,1194,2004,0.004206383
7409,7704,"Delta Force, The  ",Action,2.571146245,253,1986,0.000751511
7521,7899,Master of the Flying Guillotine    ,Action,3.62987013,154,1975,0.000645803
8940,26696,Lionheart  ,Action,2.9,190,1990,0.000636561
12230,58627,Never Back Down  ,Action,3.299778761,452,2008,0.001723104
12738,62803,Lone Wolf and Cub: Baby Cart in Peril    ,Action,3.71875,112,1972,0.000481175
13156,67252,Ong-Bak 2: The Beginning    ,Action,3.077625571,219,2008,0.00077866
13888,71910,"Tournament, The  ",Action,2.898395722,187,2009,0.000626163
15021,79553,Ip Man 2  ,Action,3.776674938,1209,2010,0.005275019
16275,86142,13 Assassins    ,Action,3.701212121,825,2010,0.003527655
37413,152591,Ip Man 3  ,Action,3.671662125,367,2015,0.001556743
39500,157326,Bastille Day  ,Action,3.229323308,133,2016,0.000496194
40872,160438,Jason Bourne  ,Action,3.45511811,1905,2016,0.007604068
48567,176935,Geostorm  ,Action,2.788184438,347,2017,0.001117736
55717,192551,Mile 22  ,Action,3.047468354,158,2018,0.000556268
56339,193952,Hunter Killer  ,Action,3.261261261,111,2018,0.000418212
58013,197689,Polar  ,Action,3.167553191,188,2019,0.000687971
60529,203519,Fast & Furious Presents: Hobbs & Shaw  ,Action,3.031847134,157,2019,0.000549914
457,462,"Good Man in Africa, A  ",Action|Adventure,2.589385475,179,1994,0.000535473
689,704,"Quest, The  ",Action|Adventure,2.829498525,1695,1996,0.005540734
745,761,"Phantom, The  ",Action|Adventure,2.791996606,3536,1996,0.011405525
793,809,Fled  ,Action|Adventure,2.833850932,1288,1996,0.00421678
1025,1049,"Ghost and the Darkness, The  ",Action|Adventure,3.393713204,4756,1996,0.018646834
1168,1198,Raiders of the Lost Ark    ,Action|Adventure,4.123923182,54675,1981,0.260487856
1258,1291,Indiana Jones and the Last Crusade  ,Action|Adventure,3.985201013,37908,1989,0.174529654
